A1,A3,A4
alabastron,"amphora,belly","amphora,a"
aryballos,"amphora,neck,boeotian","amphora,b"
"bowl,east,greek",amphoriskos,"amphora,bail"
chous,bowl,"amphora,neck"
"cup,protogeometric",chalice,"amphoriskos,corinthian"
"cup,one,handled","cup,a","amphoriskos,east"
dish,"cup,b","amphoriskos,fikellura"
epichysis,"cup,boeotian,bird",askos
flask,"cup,c",cup_kantharos
jug,"cup,little,master,band","krater,column"
kalathos,"cup,little,master,lip","krater,volute"
kyathos,"cup,mastoid",loutrophoros
lekythos,"cup,athenian",
lydion,"cup,siana",
mug,"cup,skyphos",
oinochoe,"cup,stemless",
olpe,hydria,
phiale,kotyle,
pitcher,"krater,bell",
plemochoe,"krater,calyx",
pyxis,lebes,
tankard,lekanis,
vase,stamnos,
